[WARN][2019-12-18 09:04:03,637][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 09:42:04,818][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 09:43:16,008][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 09:51:13,005][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 09:53:24,800][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 10:04:37,125][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 10:07:00,883][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 10:11:51,925][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 10:20:01,935][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 10:35:59,155][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 11:00:40,504][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-18 11:10:13,894][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.BBS.model.Issue
[WARN][2019-12-21 21:10:53,707][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.model.Issue
[WARN][2019-12-21 21:14:06,688][net.sf.json.JSONObject]Tried to assign property content:java.lang.String to bean of class ruanku.xuelian_requirement.model.Issue
